filename,width,height,poi,xmin,ymin,xmax,ymax,gesture,intent
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,pedestrian,107,89,125,138,no_gesture,not_crossing
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,jay_walking,21,91,49,138,no_gesture,not_crossing
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,traffic_cop,105,33,323,327,gostraight,not_crossing
img10_jpg.rf.dab4a1468fa6cf6f5600f8f78a11fd54.jpg,416,416,school_children,40,14,373,401,no_gesture,not_crossing
img11_jpg.rf.396eb52e5d313ed335356b9da3ae82fc.jpg,416,416,jay_walking,114,49,252,406,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,jay_walking,31,109,94,353,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,pedestrian,99,121,153,324,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,jay_walking,207,102,279,351,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,pedestrian,280,75,304,152,no_gesture,crossing
img13_jpg.rf.6359cabe688749c2264fe51ab9a572b6.jpg,416,416,jay_walking,232,131,344,402,no_gesture,crossing
img13_jpg.rf.6359cabe688749c2264fe51ab9a572b6.jpg,416,416,pedestrian,347,148,409,296,no_gesture,crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,159,41,268,375,no_gesture,not_crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,114,33,137,123,no_gesture,not_crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,75,23,97,79,no_gesture,not_crossing
img15_jpg.rf.3a4ad991ccbc9c57674f7a9563ea16ac.jpg,416,416,jay_walking,161,79,248,305,no_gesture,crossing
img16_jpg.rf.54a46b9faf093c05d1f9d3b36201ade6.jpg,416,416,jay_walking,119,107,231,380,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,jay_walking,13,94,77,344,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,jay_walking,82,125,125,296,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,182,118,249,326,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,263,131,318,318,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,341,139,403,321,no_gesture,crossing
img18_jpg.rf.15fdf617ee990da88f411bd1c502aeeb.jpg,416,416,construction_worker,41,27,159,415,no_gesture,not_crossing
img19_jpg.rf.340e66abf601cadf47b2a777e4da9ba4.jpg,416,416,construction_worker,117,111,306,400,no_gesture,not_crossing
img2_jpg.rf.ef5d982520326d35b22713776959c51a.jpg,416,416,traffic_cop,131,25,305,415,stopsb,not_crossing
img20_jpg.rf.79fe1113f9b26f2c844bff666ed57abb.jpg,416,416,traffic_cop,120,31,266,396,stoplr,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,jay_walking,186,33,300,414,no_gesture,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,6,64,68,269,no_gesture,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,73,64,139,272,no_gesture,crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,390,78,414,189,no_gesture,crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,348,76,387,210,no_gesture,crossing
img22_jpg.rf.7d78549d063851dcd25da635bc2580fa.jpg,416,416,pedestrian,141,70,206,384,no_gesture,crossing
img22_jpg.rf.7d78549d063851dcd25da635bc2580fa.jpg,416,416,pedestrian,225,70,310,379,no_gesture,crossing
img22_jpg.rf.7d78549d063851dcd25da635bc2580fa.jpg,416,416,school_children,325,142,390,374,no_gesture,crossing
img22_jpg.rf.7d78549d063851dcd25da635bc2580fa.jpg,416,416,pedestrian,28,77,124,386,no_gesture,crossing
img23_jpg.rf.8086148995005f605afa9721ba1ff819.jpg,416,416,pedestrian,188,147,272,414,no_gesture,not_crossing
img24_jpg.rf.2530865afc2e8d54aa6961d46b7d5b62.jpg,416,416,pedestrian,239,18,309,357,no_gesture,crossing
img24_jpg.rf.2530865afc2e8d54aa6961d46b7d5b62.jpg,416,416,school_children,170,107,244,368,no_gesture,crossing
img25_jpg.rf.b1f83abfbf40f5fbbbf71a17e4a2ead3.jpg,416,416,jay_walking,165,0,243,371,no_gesture,not_crossing
img25_jpg.rf.b1f83abfbf40f5fbbbf71a17e4a2ead3.jpg,416,416,pedestrian,106,34,136,158,no_gesture,not_crossing
img25_jpg.rf.b1f83abfbf40f5fbbbf71a17e4a2ead3.jpg,416,416,jay_walking,258,69,287,185,no_gesture,not_crossing
img25_jpg.rf.b1f83abfbf40f5fbbbf71a17e4a2ead3.jpg,416,416,pedestrian,221,37,241,147,no_gesture,crossing
img26_jpg.rf.3d04120b4ae0bab4c36246eaa6cac310.jpg,416,416,pedestrian,241,60,297,350,no_gesture,crossing
img26_jpg.rf.3d04120b4ae0bab4c36246eaa6cac310.jpg,416,416,pedestrian,296,69,355,371,no_gesture,crossing
img26_jpg.rf.3d04120b4ae0bab4c36246eaa6cac310.jpg,416,416,pedestrian,98,37,223,350,no_gesture,crossing
img26_jpg.rf.3d04120b4ae0bab4c36246eaa6cac310.jpg,416,416,jay_walking,7,58,85,379,no_gesture,crossing
img27_jpg.rf.cfe218d4835abd7ca90019826a010c4a.jpg,416,416,traffic_cop,32,7,401,406,stopr,not_crossing
img28_jpg.rf.36eddc5438a7ef12afb5adcca76fe037.jpg,416,416,pedestrian,92,157,164,364,no_gesture,crossing
img29_jpg.rf.55af85958f34ceeebfc2b4cb43e402bc.jpg,416,416,old_pedestrian,184,133,244,353,no_gesture,not_crossing
img29_jpg.rf.55af85958f34ceeebfc2b4cb43e402bc.jpg,416,416,pedestrian,25,101,77,355,no_gesture,not_crossing
img29_jpg.rf.55af85958f34ceeebfc2b4cb43e402bc.jpg,416,416,school_children,65,207,122,360,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,traffic_cop,162,4,305,415,no_gesture,not_crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,34,176,62,268,no_gesture,not_crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,7,176,27,262,no_gesture,not_crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,57,154,84,234,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,93,158,115,240,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,119,146,139,228,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,142,152,180,257,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,288,126,317,192,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,379,126,388,156,stopsb,not_crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,395,125,401,159,no_gesture,crossing
img3_jpg.rf.4b630c31c2ca986cc44eef3093a9b8d0.jpg,416,416,school_children,403,122,410,156,no_gesture,crossing
img30_jpg.rf.cc1a169385c75f3fed63b2675858e6d0.jpg,416,416,pedestrian,76,29,179,332,no_gesture,crossing
img30_jpg.rf.cc1a169385c75f3fed63b2675858e6d0.jpg,416,416,school_children,179,150,265,341,no_gesture,crossing
img31_jpg.rf.1ac3be37028b254804fcd252a20293dd.jpg,416,416,traffic_cop,179,26,333,404,no_gesture,not_crossing
img31_jpg.rf.1ac3be37028b254804fcd252a20293dd.jpg,416,416,pedestrian,305,146,324,235,no_gesture,not_crossing
img31_jpg.rf.1ac3be37028b254804fcd252a20293dd.jpg,416,416,pedestrian,328,148,349,235,stopsb,not_crossing
img32_jpg.rf.0a13aa0cd3ad711e7e2000586f89b56d.jpg,416,416,traffic_cop,121,5,309,414,no_gesture,not_crossing
img33_jpg.rf.aac58ff2e3bcd4f2673b7fd7698ac46a.jpg,416,416,traffic_cop,141,38,280,413,stoplr,not_crossing
img34_jpg.rf.08fff4097ff1d663265cdac5e64ebfeb.jpg,416,416,traffic_cop,162,78,343,375,vip_salute,not_crossing
img35_jpg.rf.498f6e71df308ab563c742fcf265f738.jpg,416,416,traffic_cop,32,11,323,346,stoplr,not_crossing
img35_jpg.rf.498f6e71df308ab563c742fcf265f738.jpg,416,416,traffic_cop,268,74,399,264,no_gesture,crossing
img35_jpg.rf.498f6e71df308ab563c742fcf265f738.jpg,416,416,pedestrian,28,118,65,183,no_gesture,crossing
img35_jpg.rf.498f6e71df308ab563c742fcf265f738.jpg,416,416,pedestrian,71,118,112,185,stoplr,not_crossing
img36_jpg.rf.ab04ca867cff9a847ae2fd555608902f.jpg,416,416,traffic_cop,202,73,351,359,stoplr,not_crossing
img37_jpg.rf.9b3c3d24e7b3a4c8cd5e90ea22ef3863.jpg,416,416,traffic_cop,52,45,178,384,no_gesture,not_crossing
img37_jpg.rf.9b3c3d24e7b3a4c8cd5e90ea22ef3863.jpg,416,416,traffic_cop,323,145,399,350,stoplr,not_crossing
img38_jpg.rf.e3bcc589465c058bb8771ece04ed80c8.jpg,416,416,traffic_cop,137,88,265,342,stopr,not_crossing
img39_jpg.rf.f8c5768f2215239581ff490bd12ef922.jpg,416,416,traffic_cop,225,5,389,414,stoplr,not_crossing
img4_jpg.rf.ae78e62e83ec8903727d4769e990b824.jpg,416,416,old_pedestrian,146,33,255,359,no_gesture,crossing
img40_jpg.rf.acc1a0a1c53d234194520498073ba373.jpg,416,416,traffic_cop,53,24,398,398,stopsb,not_crossing
img5_jpg.rf.dc014a99fd70b753e217719c2b9dc7fb.jpg,416,416,old_pedestrian,40,89,102,302,no_gesture,crossing
img5_jpg.rf.dc014a99fd70b753e217719c2b9dc7fb.jpg,416,416,pedestrian,120,82,196,309,no_gesture,crossing
img5_jpg.rf.dc014a99fd70b753e217719c2b9dc7fb.jpg,416,416,old_pedestrian,208,80,268,315,no_gesture,crossing
img5_jpg.rf.dc014a99fd70b753e217719c2b9dc7fb.jpg,416,416,old_pedestrian,281,101,376,327,no_gesture,crossing
img6_jpg.rf.10e6ee85f07f0407c6ba32c09bdf455d.jpg,416,416,construction_worker,40,5,412,414,stopsb,not_crossing
img7_jpg.rf.dea9b7c42ae3021d482f15b4f2664b3b.jpg,416,416,construction_worker,101,47,238,404,no_gesture,crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,school_children,28,204,76,352,no_gesture,crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,school_children,84,183,143,355,stopsb,not_crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,school_children,148,223,202,362,no_gesture,crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,school_children,189,226,252,360,no_gesture,crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,pedestrian,114,103,211,359,no_gesture,crossing
img8_jpg.rf.59fb851105c8ec6f3ccff7ff24569072.jpg,416,416,traffic_cop,254,72,386,407,no_gesture,crossing
img9_jpg.rf.d5b8aaef851e9b8300d64684d266213e.jpg,416,416,school_children,41,28,348,389,no_gesture,not_crossing
